Wavenumbers [1/cm];Absorbance;
3564,000;0,1628138;
3562,000;0,1619678;
3560,000;0,161527;
3558,000;0,1611151;
3556,000;0,1608196;
3554,000;0,1608555;
3552,000;0,1607957;
3550,000;0,1604177;
3548,000;0,1604748;
3546,000;0,1604176;
3544,000;0,159858;
3542,000;0,159321;
3540,000;0,1590706;
3538,000;0,1589335;
3536,000;0,1587405;
3534,000;0,1584568;
3532,000;0,1583956;
3530,000;0,158417;
3528,000;0,1584427;
3526,000;0,1582596;
3524,000;0,1579469;
3522,000;0,1575781;
3520,000;0,1573012;
3518,000;0,1570081;
3516,000;0,1566745;
3514,000;0,1564531;
3512,000;0,1563647;
3510,000;0,1565245;
3508,000;0,156209;
3506,000;0,1559868;
3504,000;0,1559315;
3502,000;0,1556916;
3500,000;0,1553171;
3498,000;0,1550298;
3496,000;0,1549051;
3494,000;0,1546834;
3492,000;0,1545079;
3490,000;0,1543652;
3488,000;0,1542219;
3486,000;0,1540041;
3484,000;0,1539375;
3482,000;0,1538339;
3480,000;0,1534423;
3478,000;0,1531831;
3476,000;0,1531541;
3474,000;0,1530088;
3472,000;0,1527523;
3470,000;0,1523533;
3468,000;0,1521497;
3466,000;0,1521063;
3464,000;0,1521995;
3462,000;0,1521223;
3460,000;0,1519549;
3458,000;0,1517915;
3456,000;0,1516678;
3454,000;0,151449;
3452,000;0,1513476;
3450,000;0,1512313;
3448,000;0,1512262;
3446,000;0,1510237;
3444,000;0,1508147;
3442,000;0,1506733;
3440,000;0,1503382;
3438,000;0,1499726;
3436,000;0,1496407;
3434,000;0,1495633;
3432,000;0,1494825;
3430,000;0,1493;
3428,000;0,1491523;
3426,000;0,1490628;
3424,000;0,1489669;
3422,000;0,1489168;
3420,000;0,1487479;
3418,000;0,1484615;
3416,000;0,1482149;
3414,000;0,1478765;
3412,000;0,1477094;
3410,000;0,1475456;
3408,000;0,1474;
3406,000;0,1473042;
3404,000;0,147006;
3402,000;0,1465837;
3400,000;0,1463327;
3398,000;0,1464959;
3396,000;0,146419;
3394,000;0,1462095;
3392,000;0,1458437;
3390,000;0,145781;
3388,000;0,1458502;
